raceId,year,round,circuitId,name,name_number,Country,Location,lat,lng,date,time,url
17,2009,17,24,Abu Dhabi Grand Prix,n°17 - Abu Dhabi Grand Prix,UAE,Abu Dhabi,24.4672,54.6031,2009-11-01,11:00:00,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix
18,2008,1,1,Australian Grand Prix,n°1 - Australian Grand Prix,Australia,Melbourne,-37.8497,144.968,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix
19,2008,2,2,Malaysian Grand Prix,n°2 - Malaysian Grand Prix,Malaysia,Kuala Lumpur,2.76083,101.738,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix
20,2008,3,3,Bahrain Grand Prix,n°3 - Bahrain Grand Prix,Bahrain,Sakhir,26.0325,50.5106,2008-04-06,11:30:00,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix
21,2008,4,4,Spanish Grand Prix,n°4 - Spanish Grand Prix,Spain,Montmeló,41.57,2.26111,2008-04-27,12:00:00,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix
22,2008,5,5,Turkish Grand Prix,n°5 - Turkish Grand Prix,Turkey,Istanbul,40.9517,29.405,2008-05-11,12:00:00,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix
23,2008,6,6,Monaco Grand Prix,n°6 - Monaco Grand Prix,Monaco,Monte-Carlo,43.7347,7.42056,2008-05-25,12:00:00,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix
24,2008,7,7,Canadian Grand Prix,n°7 - Canadian Grand Prix,Canada,Montreal,45.5,-73.5228,2008-06-08,17:00:00,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix
25,2008,8,8,French Grand Prix,n°8 - French Grand Prix,France,Magny Cours,46.8642,3.16361,2008-06-22,12:00:00,http://en.wikipedia.org/wiki/2008_French_Grand_Prix
26,2008,9,9,British Grand Prix,n°9 - British Grand Prix,UK,Silverstone,52.0786,-1.01694,2008-07-06,12:00:00,http://en.wikipedia.org/wiki/2008_British_Grand_Prix
27,2008,10,10,German Grand Prix,n°10 - German Grand Prix,Germany,Hockenheim,49.3278,8.56583,2008-07-20,12:00:00,http://en.wikipedia.org/wiki/2008_German_Grand_Prix
28,2008,11,11,Hungarian Grand Prix,n°11 - Hungarian Grand Prix,Hungary,Budapest,47.5789,19.2486,2008-08-03,12:00:00,http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix
29,2008,12,12,European Grand Prix,n°12 - European Grand Prix,Spain,Valencia,39.4589,-0.331667,2008-08-24,12:00:00,http://en.wikipedia.org/wiki/2008_European_Grand_Prix
30,2008,13,13,Belgian Grand Prix,n°13 - Belgian Grand Prix,Belgium,Spa,50.4372,5.97139,2008-09-07,12:00:00,http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix
31,2008,14,14,Italian Grand Prix,n°14 - Italian Grand Prix,Italy,Monza,45.6156,9.28111,2008-09-14,12:00:00,http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix
32,2008,15,15,Singapore Grand Prix,n°15 - Singapore Grand Prix,Singapore,Marina Bay,2914-01-01,103.864,2008-09-28,12:00:00,http://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix
33,2008,16,16,Japanese Grand Prix,n°16 - Japanese Grand Prix,Japan,Oyama,35.3717,138.927,2008-10-12,04:30:00,http://en.wikipedia.org/wiki/2008_Japanese_Grand_Prix
34,2008,17,17,Chinese Grand Prix,n°17 - Chinese Grand Prix,China,Shanghai,31.3389,121.22,2008-10-19,07:00:00,http://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix
35,2008,18,18,Brazilian Grand Prix,n°18 - Brazilian Grand Prix,Brazil,São Paulo,-23.7036,-46.6997,2008-11-02,17:00:00,http://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix
36,2007,1,1,Australian Grand Prix,n°1 - Australian Grand Prix,Australia,Melbourne,-37.8497,144.968,2007-03-18,03:00:00,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix
37,2007,2,2,Malaysian Grand Prix,n°2 - Malaysian Grand Prix,Malaysia,Kuala Lumpur,2.76083,101.738,2007-04-08,07:00:00,http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix
38,2007,3,3,Bahrain Grand Prix,n°3 - Bahrain Grand Prix,Bahrain,Sakhir,26.0325,50.5106,2007-04-15,11:30:00,http://en.wikipedia.org/wiki/2007_Bahrain_Grand_Prix
39,2007,4,4,Spanish Grand Prix,n°4 - Spanish Grand Prix,Spain,Montmeló,41.57,2.26111,2007-05-13,12:00:00,http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix
40,2007,5,6,Monaco Grand Prix,n°5 - Monaco Grand Prix,Monaco,Monte-Carlo,43.7347,7.42056,2007-05-27,12:00:00,http://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix
41,2007,6,7,Canadian Grand Prix,n°6 - Canadian Grand Prix,Canada,Montreal,45.5,-73.5228,2007-06-10,17:00:00,http://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix
42,2007,7,19,United States Grand Prix,n°7 - United States Grand Prix,USA,Indianapolis,39.795,-86.2347,2007-06-17,17:00:00,http://en.wikipedia.org/wiki/2007_United_States_Grand_Prix
43,2007,8,8,French Grand Prix,n°8 - French Grand Prix,France,Magny Cours,46.8642,3.16361,2007-07-01,12:00:00,http://en.wikipedia.org/wiki/2007_French_Grand_Prix
44,2007,9,9,British Grand Prix,n°9 - British Grand Prix,UK,Silverstone,52.0786,-1.01694,2007-07-08,12:00:00,http://en.wikipedia.org/wiki/2007_British_Grand_Prix
45,2007,10,20,European Grand Prix,n°10 - European Grand Prix,Germany,Nürburg,50.3356,9475-06-01,2007-07-22,12:00:00,http://en.wikipedia.org/wiki/2007_European_Grand_Prix
46,2007,11,11,Hungarian Grand Prix,n°11 - Hungarian Grand Prix,Hungary,Budapest,47.5789,19.2486,2007-08-05,12:00:00,http://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix
47,2007,12,5,Turkish Grand Prix,n°12 - Turkish Grand Prix,Turkey,Istanbul,40.9517,29.405,2007-08-26,12:00:00,http://en.wikipedia.org/wiki/2007_Turkish_Grand_Prix
48,2007,13,14,Italian Grand Prix,n°13 - Italian Grand Prix,Italy,Monza,45.6156,9.28111,2007-09-09,12:00:00,http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix
49,2007,14,13,Belgian Grand Prix,n°14 - Belgian Grand Prix,Belgium,Spa,50.4372,5.97139,2007-09-16,12:00:00,http://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix
50,2007,15,16,Japanese Grand Prix,n°15 - Japanese Grand Prix,Japan,Oyama,35.3717,138.927,2007-09-30,04:30:00,http://en.wikipedia.org/wiki/2007_Japanese_Grand_Prix
51,2007,16,17,Chinese Grand Prix,n°16 - Chinese Grand Prix,China,Shanghai,31.3389,121.22,2007-10-07,06:00:00,http://en.wikipedia.org/wiki/2007_Chinese_Grand_Prix
52,2007,17,18,Brazilian Grand Prix,n°17 - Brazilian Grand Prix,Brazil,São Paulo,-23.7036,-46.6997,2007-10-21,16:00:00,http://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix
53,2006,1,3,Bahrain Grand Prix,n°1 - Bahrain Grand Prix,Bahrain,Sakhir,26.0325,50.5106,2006-03-12,14:30:00,http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix
54,2006,2,2,Malaysian Grand Prix,n°2 - Malaysian Grand Prix,Malaysia,Kuala Lumpur,2.76083,101.738,2006-03-19,15:00:00,http://en.wikipedia.org/wiki/2006_Malaysian_Grand_Prix
55,2006,3,1,Australian Grand Prix,n°3 - Australian Grand Prix,Australia,Melbourne,-37.8497,144.968,2006-04-02,14:00:00,http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix
56,2006,4,21,San Marino Grand Prix,n°4 - San Marino Grand Prix,Italy,Imola,44.3439,7167-11-01,2006-04-23,14:00:00,http://en.wikipedia.org/wiki/2006_San_Marino_Grand_Prix
57,2006,5,20,European Grand Prix,n°5 - European Grand Prix,Germany,Nürburg,50.3356,9475-06-01,2006-05-07,14:00:00,http://en.wikipedia.org/wiki/2006_European_Grand_Prix
58,2006,6,4,Spanish Grand Prix,n°6 - Spanish Grand Prix,Spain,Montmeló,41.57,2.26111,2006-05-14,14:00:00,http://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix
59,2006,7,6,Monaco Grand Prix,n°7 - Monaco Grand Prix,Monaco,Monte-Carlo,43.7347,7.42056,2006-05-28,14:00:00,http://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix
60,2006,8,9,British Grand Prix,n°8 - British Grand Prix,UK,Silverstone,52.0786,-1.01694,2006-06-11,12:00:00,http://en.wikipedia.org/wiki/2006_British_Grand_Prix
61,2006,9,7,Canadian Grand Prix,n°9 - Canadian Grand Prix,Canada,Montreal,45.5,-73.5228,2006-06-25,13:00:00,http://en.wikipedia.org/wiki/2006_Canadian_Grand_Prix
62,2006,10,19,United States Grand Prix,n°10 - United States Grand Prix,USA,Indianapolis,39.795,-86.2347,2006-07-02,14:00:00,http://en.wikipedia.org/wiki/2006_United_States_Grand_Prix
63,2006,11,8,French Grand Prix,n°11 - French Grand Prix,France,Magny Cours,46.8642,3.16361,2006-07-16,14:00:00,http://en.wikipedia.org/wiki/2006_French_Grand_Prix
64,2006,12,10,German Grand Prix,n°12 - German Grand Prix,Germany,Hockenheim,49.3278,8.56583,2006-07-30,14:00:00,http://en.wikipedia.org/wiki/2006_German_Grand_Prix
65,2006,13,11,Hungarian Grand Prix,n°13 - Hungarian Grand Prix,Hungary,Budapest,47.5789,19.2486,2006-08-06,14:00:00,http://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix
66,2006,14,5,Turkish Grand Prix,n°14 - Turkish Grand Prix,Turkey,Istanbul,40.9517,29.405,2006-08-27,15:00:00,http://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix
67,2006,15,14,Italian Grand Prix,n°15 - Italian Grand Prix,Italy,Monza,45.6156,9.28111,2006-09-10,14:00:00,http://en.wikipedia.org/wiki/2006_Italian_Grand_Prix
68,2006,16,17,Chinese Grand Prix,n°16 - Chinese Grand Prix,China,Shanghai,31.3389,121.22,2006-10-01,14:00:00,http://en.wikipedia.org/wiki/2006_Chinese_Grand_Prix
69,2006,17,22,Japanese Grand Prix,n°17 - Japanese Grand Prix,Japan,Suzuka,34.8431,136.541,2006-10-08,14:00:00,http://en.wikipedia.org/wiki/2006_Japanese_Grand_Prix
70,2006,18,18,Brazilian Grand Prix,n°18 - Brazilian Grand Prix,Brazil,São Paulo,-23.7036,-46.6997,2006-10-22,14:00:00,http://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix
71,2005,1,1,Australian Grand Prix,n°1 - Australian Grand Prix,Australia,Melbourne,-37.8497,144.968,2005-03-06,14:00:00,http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix
72,2005,2,2,Malaysian Grand Prix,n°2 - Malaysian Grand Prix,Malaysia,Kuala Lumpur,2.76083,101.738,2005-03-20,15:00:00,http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix
73,2005,3,3,Bahrain Grand Prix,n°3 - Bahrain Grand Prix,Bahrain,Sakhir,26.0325,50.5106,2005-04-03,14:30:00,http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix
74,2005,4,21,San Marino Grand Prix,n°4 - San Marino Grand Prix,Italy,Imola,44.3439,7167-11-01,2005-04-24,14:00:00,http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix
75,2005,5,4,Spanish Grand Prix,n°5 - Spanish Grand Prix,Spain,Montmeló,41.57,2.26111,2005-05-08,14:00:00,http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix
76,2005,6,6,Monaco Grand Prix,n°6 - Monaco Grand Prix,Monaco,Monte-Carlo,43.7347,7.42056,2005-05-22,14:00:00,http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix
77,2005,7,20,European Grand Prix,n°7 - European Grand Prix,Germany,Nürburg,50.3356,9475-06-01,2005-05-29,14:00:00,http://en.wikipedia.org/wiki/2005_European_Grand_Prix
78,2005,8,7,Canadian Grand Prix,n°8 - Canadian Grand Prix,Canada,Montreal,45.5,-73.5228,2005-06-12,13:00:00,http://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix
79,2005,9,19,United States Grand Prix,n°9 - United States Grand Prix,USA,Indianapolis,39.795,-86.2347,2005-06-19,14:00:00,http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix
80,2005,10,8,French Grand Prix,n°10 - French Grand Prix,France,Magny Cours,46.8642,3.16361,2005-07-03,14:00:00,http://en.wikipedia.org/wiki/2005_French_Grand_Prix
81,2005,11,9,British Grand Prix,n°11 - British Grand Prix,UK,Silverstone,52.0786,-1.01694,2005-07-10,14:00:00,http://en.wikipedia.org/wiki/2005_British_Grand_Prix
82,2005,12,10,German Grand Prix,n°12 - German Grand Prix,Germany,Hockenheim,49.3278,8.56583,2005-07-24,14:00:00,http://en.wikipedia.org/wiki/2005_German_Grand_Prix
83,2005,13,11,Hungarian Grand Prix,n°13 - Hungarian Grand Prix,Hungary,Budapest,47.5789,19.2486,2005-07-31,14:00:00,http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix
84,2005,14,5,Turkish Grand Prix,n°14 - Turkish Grand Prix,Turkey,Istanbul,40.9517,29.405,2005-08-21,15:00:00,http://en.wikipedia.org/wiki/2005_Turkish_Grand_Prix
85,2005,15,14,Italian Grand Prix,n°15 - Italian Grand Prix,Italy,Monza,45.6156,9.28111,2005-09-04,14:00:00,http://en.wikipedia.org/wiki/2005_Italian_Grand_Prix
86,2005,16,13,Belgian Grand Prix,n°16 - Belgian Grand Prix,Belgium,Spa,50.4372,5.97139,2005-09-11,14:00:00,http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix
87,2005,17,18,Brazilian Grand Prix,n°17 - Brazilian Grand Prix,Brazil,São Paulo,-23.7036,-46.6997,2005-09-25,14:00:00,http://en.wikipedia.org/wiki/2005_Brazilian_Grand_Prix
88,2005,18,22,Japanese Grand Prix,n°18 - Japanese Grand Prix,Japan,Suzuka,34.8431,136.541,2005-10-09,14:00:00,http://en.wikipedia.org/wiki/2005_Japanese_Grand_Prix
89,2005,19,17,Chinese Grand Prix,n°19 - Chinese Grand Prix,China,Shanghai,31.3389,121.22,2005-10-16,14:00:00,http://en.wikipedia.org/wiki/2005_Chinese_Grand_Prix
90,2004,1,1,Australian Grand Prix,n°1 - Australian Grand Prix,Australia,Melbourne,-37.8497,144.968,2004-03-07,\N,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix
91,2004,2,2,Malaysian Grand Prix,n°2 - Malaysian Grand Prix,Malaysia,Kuala Lumpur,2.76083,101.738,2004-03-21,\N,http://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix
92,2004,3,3,Bahrain Grand Prix,n°3 - Bahrain Grand Prix,Bahrain,Sakhir,26.0325,50.5106,2004-04-04,\N,http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix
93,2004,4,21,San Marino Grand Prix,n°4 - San Marino Grand Prix,Italy,Imola,44.3439,7167-11-01,2004-04-25,\N,http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix
94,2004,5,4,Spanish Grand Prix,n°5 - Spanish Grand Prix,Spain,Montmeló,41.57,2.26111,2004-05-09,\N,http://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix
95,2004,6,6,Monaco Grand Prix,n°6 - Monaco Grand Prix,Monaco,Monte-Carlo,43.7347,7.42056,2004-05-23,\N,http://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix
96,2004,7,20,European Grand Prix,n°7 - European Grand Prix,Germany,Nürburg,50.3356,9475-06-01,2004-05-30,\N,http://en.wikipedia.org/wiki/2004_European_Grand_Prix
97,2004,8,7,Canadian Grand Prix,n°8 - Canadian Grand Prix,Canada,Montreal,45.5,-73.5228,2004-06-13,\N,http://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix
98,2004,9,19,United States Grand Prix,n°9 - United States Grand Prix,USA,Indianapolis,39.795,-86.2347,2004-06-20,\N,http://en.wikipedia.org/wiki/2004_United_States_Grand_Prix
99,2004,10,8,French Grand Prix,n°10 - French Grand Prix,France,Magny Cours,46.8642,3.16361,2004-07-04,\N,http://en.wikipedia.org/wiki/2004_French_Grand_Prix
100,2004,11,9,British Grand Prix,n°11 - British Grand Prix,UK,Silverstone,52.0786,-1.01694,2004-07-11,\N,http://en.wikipedia.org/wiki/2004_British_Grand_Prix
101,2004,12,10,German Grand Prix,n°12 - German Grand Prix,Germany,Hockenheim,49.3278,8.56583,2004-07-25,\N,http://en.wikipedia.org/wiki/2004_German_Grand_Prix
102,2004,13,11,Hungarian Grand Prix,n°13 - Hungarian Grand Prix,Hungary,Budapest,47.5789,19.2486,2004-08-15,\N,http://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix
103,2004,14,13,Belgian Grand Prix,n°14 - Belgian Grand Prix,Belgium,Spa,50.4372,5.97139,2004-08-29,\N,http://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix
104,2004,15,14,Italian Grand Prix,n°15 - Italian Grand Prix,Italy,Monza,45.6156,9.28111,2004-09-12,\N,http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix
105,2004,16,17,Chinese Grand Prix,n°16 - Chinese Grand Prix,China,Shanghai,31.3389,121.22,2004-09-26,\N,http://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix
106,2004,17,22,Japanese Grand Prix,n°17 - Japanese Grand Prix,Japan,Suzuka,34.8431,136.541,2004-10-10,\N,http://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix
107,2004,18,18,Brazilian Grand Prix,n°18 - Brazilian Grand Prix,Brazil,São Paulo,-23.7036,-46.6997,2004-10-24,\N,http://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix
108,2003,1,1,Australian Grand Prix,n°1 - Australian Grand Prix,Australia,Melbourne,-37.8497,144.968,2003-03-09,\N,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix
109,2003,2,2,Malaysian Grand Prix,n°2 - Malaysian Grand Prix,Malaysia,Kuala Lumpur,2.76083,101.738,2003-03-23,\N,http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix
110,2003,3,18,Brazilian Grand Prix,n°3 - Brazilian Grand Prix,Brazil,São Paulo,-23.7036,-46.6997,2003-04-06,\N,http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix
111,2003,4,21,San Marino Grand Prix,n°4 - San Marino Grand Prix,Italy,Imola,44.3439,7167-11-01,2003-04-20,\N,http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix
112,2003,5,4,Spanish Grand Prix,n°5 - Spanish Grand Prix,Spain,Montmeló,41.57,2.26111,2003-05-04,\N,http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix
113,2003,6,23,Austrian Grand Prix,n°6 - Austrian Grand Prix,Austria,Spielburg,47.2197,14.7647,2003-05-18,\N,http://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix
114,2003,7,6,Monaco Grand Prix,n°7 - Monaco Grand Prix,Monaco,Monte-Carlo,43.7347,7.42056,2003-06-01,\N,http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix
115,2003,8,7,Canadian Grand Prix,n°8 - Canadian Grand Prix,Canada,Montreal,45.5,-73.5228,2003-06-15,\N,http://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix
116,2003,9,20,European Grand Prix,n°9 - European Grand Prix,Germany,Nürburg,50.3356,9475-06-01,2003-06-29,\N,http://en.wikipedia.org/wiki/2003_European_Grand_Prix
117,2003,10,8,French Grand Prix,n°10 - French Grand Prix,France,Magny Cours,46.8642,3.16361,2003-07-06,\N,http://en.wikipedia.org/wiki/2003_French_Grand_Prix
118,2003,11,9,British Grand Prix,n°11 - British Grand Prix,UK,Silverstone,52.0786,-1.01694,2003-07-20,\N,http://en.wikipedia.org/wiki/2003_British_Grand_Prix
119,2003,12,10,German Grand Prix,n°12 - German Grand Prix,Germany,Hockenheim,49.3278,8.56583,2003-08-03,\N,http://en.wikipedia.org/wiki/2003_German_Grand_Prix
120,2003,13,11,Hungarian Grand Prix,n°13 - Hungarian Grand Prix,Hungary,Budapest,47.5789,19.2486,2003-08-24,\N,http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix
121,2003,14,14,Italian Grand Prix,n°14 - Italian Grand Prix,Italy,Monza,45.6156,9.28111,2003-09-14,\N,http://en.wikipedia.org/wiki/2003_Italian_Grand_Prix
122,2003,15,19,United States Grand Prix,n°15 - United States Grand Prix,USA,Indianapolis,39.795,-86.2347,2003-09-28,\N,http://en.wikipedia.org/wiki/2003_United_States_Grand_Prix
123,2003,16,22,Japanese Grand Prix,n°16 - Japanese Grand Prix,Japan,Suzuka,34.8431,136.541,2003-10-12,\N,http://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix
124,2002,1,1,Australian Grand Prix,n°1 - Australian Grand Prix,Australia,Melbourne,-37.8497,144.968,2002-03-03,\N,http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix
125,2002,2,2,Malaysian Grand Prix,n°2 - Malaysian Grand Prix,Malaysia,Kuala Lumpur,2.76083,101.738,2002-03-17,\N,http://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix
126,2002,3,18,Brazilian Grand Prix,n°3 - Brazilian Grand Prix,Brazil,São Paulo,-23.7036,-46.6997,2002-03-31,\N,http://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix
127,2002,4,21,San Marino Grand Prix,n°4 - San Marino Grand Prix,Italy,Imola,44.3439,7167-11-01,2002-04-14,\N,http://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix
128,2002,5,4,Spanish Grand Prix,n°5 - Spanish Grand Prix,Spain,Montmeló,41.57,2.26111,2002-04-28,\N,http://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix
129,2002,6,23,Austrian Grand Prix,n°6 - Austrian Grand Prix,Austria,Spielburg,47.2197,14.7647,2002-05-12,\N,http://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix
130,2002,7,6,Monaco Grand Prix,n°7 - Monaco Grand Prix,Monaco,Monte-Carlo,43.7347,7.42056,2002-05-26,\N,http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix
131,2002,8,7,Canadian Grand Prix,n°8 - Canadian Grand Prix,Canada,Montreal,45.5,-73.5228,2002-06-09,\N,http://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix
132,2002,9,20,European Grand Prix,n°9 - European Grand Prix,Germany,Nürburg,50.3356,9475-06-01,2002-06-23,\N,http://en.wikipedia.org/wiki/2002_European_Grand_Prix
133,2002,10,9,British Grand Prix,n°10 - British Grand Prix,UK,Silverstone,52.0786,-1.01694,2002-07-07,\N,http://en.wikipedia.org/wiki/2002_British_Grand_Prix
134,2002,11,8,French Grand Prix,n°11 - French Grand Prix,France,Magny Cours,46.8642,3.16361,2002-07-21,\N,http://en.wikipedia.org/wiki/2002_French_Grand_Prix
135,2002,12,10,German Grand Prix,n°12 - German Grand Prix,Germany,Hockenheim,49.3278,8.56583,2002-07-28,\N,http://en.wikipedia.org/wiki/2002_German_Grand_Prix
136,2002,13,11,Hungarian Grand Prix,n°13 - Hungarian Grand Prix,Hungary,Budapest,47.5789,19.2486,2002-08-18,\N,http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix
137,2002,14,13,Belgian Grand Prix,n°14 - Belgian Grand Prix,Belgium,Spa,50.4372,5.97139,2002-09-01,\N,http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix
138,2002,15,14,Italian Grand Prix,n°15 - Italian Grand Prix,Italy,Monza,45.6156,9.28111,2002-09-15,\N,http://en.wikipedia.org/wiki/2002_Italian_Grand_Prix
139,2002,16,19,United States Grand Prix,n°16 - United States Grand Prix,USA,Indianapolis,39.795,-86.2347,2002-09-29,\N,http://en.wikipedia.org/wiki/2002_United_States_Grand_Prix
140,2002,17,22,Japanese Grand Prix,n°17 - Japanese Grand Prix,Japan,Suzuka,34.8431,136.541,2002-10-13,\N,http://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix
141,2001,1,1,Australian Grand Prix,n°1 - Australian Grand Prix,Australia,Melbourne,-37.8497,144.968,2001-03-04,\N,http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix
